Date,Category,Title,Text
24 май 2018 18:10,Финансы,Вагит Алекперов — РБК: «ЛУКОЙЛ слишком дорого стоит»,"Цена на нефть демонстрирует рекордный рост. Президент ЛУКОЙЛа Вагит Алекперов в интервью телеканалу РБК рассказал о том, за что он благодарен правительству, как стабилизировать рынок и почему нельзя поднимать цену на бензин"
24 апр 2018 17:03,Финансы,Совдир ЛУКОЙЛа рекомендовал направить на выплату дивидендов 44% прибыли,NO TEXT
23 мар 2018 16:20,Экономика,ЛУКОЙЛ на одну минуту обошел по стоимости «Роснефть»,"В ходе пятничных торгов капитализация ЛУКОЙЛа превысила стоимость сначала «Газпрома», а затем и «Роснефти». Однако самой дорогой компанией России остался Сбербанк"
05 фев 2018 17:06,Экономика,Алекперов рассказал Путину о планах построить комплекс за 120 млрд руб.,NO TEXT
15 дек 2017 18:05,Политика,Суд перепутал «Роснефть» с ЛУКОЙЛом в приговоре Улюкаеву,В приговоре Замоскворецкого суда экс-министру экономического развития Алексею Улюкаеву при перечислении подлежащих уничтожению вещественных доказательств вместо слова «Роснефть» вписали слово «Лукойл»
13 ноя 2017 14:29,Экономика,Алекперов пообещал стабильную цену на нефть до конца соглашения ОПЕК+,NO TEXT
30 авг 2017 14:54,Финансы,ЛУКОЙЛ поддержал решение ЦБ санировать «ФК Открытие»,NO TEXT
29 авг 2017 16:09,Экономика,"После продажи алмазного бизнеса чистая прибыль ЛУКОЙЛа выросла на 90,7%",NO TEXT
04 авг 2017 08:27,Экономика,Новые санкции США прервут международную экспансию российских нефтяников,РБК продолжает разбираться в последствиях закона США о новых санкциях против России. Он несет угрозу международной экспансии российских нефтяников и помещает в зону риска по меньшей мере пять нефтяных проектов за пределами страны
25 июл 2017 17:47,Политика,СМИ назвали рискующие пострадать от санкций США проекты России и ЕС,"Под влияние новых санкций, законопроект о которых рассматривается в конгрессе США, могут подпасть восемь совместных проектов России и ЕС. Это энергетические проекты с участием «Роснефти», «Газпрома» и ЛУКОЙЛа"
22 дек 2016 04:34,Экономика,СМИ узнали о новой площадке ЛУКОЙЛа на шельфе Балтийского моря,NO TEXT
13 дек 2016 14:29,Экономика,В ФАС назвали «недопустимым» прогноз Алекперова о росте цен на бензин,NO TEXT
13 дек 2016 12:33,Экономика,Глава ЛУКОЙЛа оценил рост цен на бензин в 2017 году,"По оценке Алекперова, в будущем году компания вынуждена будет плавно поднять цены на свою продукцию на 8–12%"
12 окт 2016 11:49,Политика,Сыну вице-президента ЛУКОЙЛа запросили реальный срок за гонки с полицией,"Обвинение попросило приговорить сына топ-менеджера ЛУКОЙЛа Руслана Шамсуарова, устроившего гонки с полицией, к 2 годам и 1 месяцу лишения свободы"
07 окт 2016 12:06,Экономика,СМИ сообщили о решении ЛУКОЙЛа не участвовать в приватизации «Башнефти»,NO TEXT
17 авг 2016 22:25,Финансы,«Правительство может развернуться на 180°»: инвесторы о «Башнефти»,"Участники рынка видят негативный сигнал в решении властей отложить продажу госпакета «Башнефти», однако не ждут, что это повлияет на дальнейший ход приватизации в стране"
01 июн 2016 17:51,Экономика,Глава ЛУКОЙЛа заявил о стабилизации на рынке нефти,NO TEXT
18 май 2016 10:14,Экономика,Алекперов предсказал рост цен на нефть к концу года выше $55,"Глава компании ЛУКОЙЛ Вагит Алекперов считает, что цены на нефть к концу года преодолеют отметку в $55 за баррель. Причиной этого, по его словам, может стать недоинвестированность отрасли"
24 апр 2016 12:17,Политика,Алекперов назвал исчерпанными возможности ОПЕК влиять на рынок нефти,"По мнению президента ЛУКОЙЛа Вагита Алекперова, ОПЕК в нынешнем виде уже не способна влиять на ситуацию на рынке нефти. Для того чтобы организация вернула себе функции регулятора, ее нужно реформировать"
16 фев 2016 10:06,Экономика,В ЛУКОЙЛе оценили возможный рост цен на бензин из-за повышения акцизов,"Цена на литр бензина может вырасти примерно на 2 руб. Так в компании ЛУКОЙЛ оценили последствия повышения акциза на топливо, обсуждаемого в правительстве"
25 янв 2016 13:21,Экономика,В ЛУКОЙЛе назвали невозможным существование мира при нефти по $30,NO TEXT
28 ноя 2015 18:56,Экономика,В Иране оценили шансы ЛУКОЙЛа и «Газпрома» на получение месторождений,NO TEXT
09 окт 2015 17:05,Финансы,Бумаги для патриотов: какие российские акции надо покупать прямо сейчас,"Стабилизация цен на нефть приведет к росту бумаг развивающихся стран, считают в Credit Suisse и Morgan Stanley. РБК узнал у управляющих, акции каких российских компаний могут подорожать в ближайшее время"
03 окт 2015 14:33,Финансы,Леонид Федун предсказал возвращение цены на нефть к $100 за барр.,"Вице-президент нефтяной компании ЛУКОЙЛ Леонид Федун предсказал рост цен на нефть до $100 за барр. в 2016 году. Ошибочные прогнозы о сохранении цен на текущих уровнях, уверен он, основываются на мифах о нефтяном рынке"
14 сен 2015 17:14,Экономика,Глава ЛУКОЙЛа дал свой прогноз цен на нефть,"По словам Вагита Алекперова, в ближайшие годы цена на нефть будет плавно расти и в конечном счете выйдет на уровень $65–90 за баррель, что позволит отрасли начать реализацию новых перспективных проектов"
28 авг 2015 17:17,Экономика,Вице-президент ЛУКОЙЛа пообещал рост цен на нефть уже со следующей недели,"Цены на нефть могут начать расти уже со следующей недели, считает вице-президент компании ЛУКОЙЛ Леонид Федун. По его словам, ценовая война между ОПЕК и США перешла «в острую фазу» и скоро в ней наступит перелом"
04 авг 2015 21:45,Политика,Румынскую «дочку» ЛУКОЙЛа заподозрили в нарушении санкционного режима,NO TEXT
03 мар 2015 16:06,Экономика,ЛУКОЙЛ заявил о возможном снижении добычи нефти в России на 5-20 млн т,NO TEXT
22 янв 2015 19:09,Экономика,ЛУКОЙЛ прогнозирует среднюю цену на нефть в 2015 году в $65–70 за баррель,NO TEXT
17 янв 2015 03:21,Политика,СМИ не исключают намерения Киева национализировать структуру ЛУКОЙЛа,NO TEXT
16 янв 2015 16:54,Политика,ЛУКОЙЛ отверг обвинения СБУ в финансировании терроризма,"Глава пресс-службы ЛУКОЙЛа Виталий Матушкин заверил, что сама компания и ее украинские «дочки» ведут деятельность в строгом соответствии с законом"
16 янв 2015 12:53,Политика,Украина обвинила ЛУКОЙЛ в финансировании терроризма,Украинские спецслужбы возбудили дело против ЛУКОЙЛа и ВЕТЭКа. Служба безопасности Украины подозревает структуры этих компаний в контрабанде нефтепродуктов и финансировании самопровозглашенных Донецкой и Луганской народных республик
