Date,Category,Title,Text
26 янв 2017 04:35,Финансы,СМИ узнали об интересе катарского фонда к покупке доли в «Яргео»,"Катарский фонд QIA, ставший одним из акционеров «Роснефти», рассматривал покупку доли в совместном предприятии НОВАТЭКа и фонда «Энергия» Игоря Юсуфова. Об этом рассказали источники «Ведомостей»"
19 янв 2017 21:34,Экономика,Глава НОВАТЭКа не увидел перспектив скорой либерализации рынка газа,"Глава НОВАТЭКа Леонид Михельсон считает, что в ближайшие год-два не стоит ждать либерализации рынка экспорта трубопроводного газа. В октябре он впервые публично выступил за отмену монополии «Газпрома» в экспорте газа"
19 май 2016 08:06,Экономика,Правительство разрешило НОВАТЭКу пользоваться Няхартинским участком недр,NO TEXT
02 апр 2016 18:44,Политика,Правительство выступило против экспорта газа «Роснефтью» и НОВАТЭКом,"Российское правительство не поддерживает идею предоставления другим компаниям права прямого экспорта российского газа в Европу, заявил глава Минэнерго Александр Новак. Ранее об этом просили «Роснефть» и НОВАТЭК"
13 янв 2016 18:40,Финансы,Без поводов для роста: стоит ли покупать бумаги нефтегазовых компаний,"Аналитики «Ренессанс Капитала» понизили целевые цены бумаг почти всех российских нефтегазовых компаний. Они ожидают, что стоимость нефти в 2016 году составит $40 за баррель, что на 15–20% ниже их предыдущего прогноза"
13 дек 2015 22:03,Экономика,Сырье в обмен на инвестиции: зачем Дмитрий Медведев едет в Китай,"«Роснефть», «Сибур», НОВАТЭК, «Лаборатория Касперского», Yota Devices — вот неполный список компаний, чьи представители едут с премьером Дмитрием Медведевым в Китай — в гости к ведущему торговому партнеру России"
19 фев 2015 10:21,Политика,Экс-глава совета директоров НОВАТЭКа Симановский может уйти из Госдумы,NO TEXT
04 фев 2015 20:00,Финансы,"S&P снизило рейтинги «Газпрома», «Роснефти» и «МегаФона»","Международное рейтинговое агентство Standard & Poor's понизило рейтинги 14 компаний, в том числе «Газпрома», «Роснефти», НОВАТЭКа, «Транснефти» и «МегаФона» в иностранной валюте с BBB- до BB+ с «негативным» прогнозом"
24 окт 2014 22:02,Экономика,«Роснефть» встанет в общую очередь за средствами ФНБ,"«Роснефть» подала заявку на получение 2 трлн руб. из Фонда национального благосостояния, но сможет рассчитывать не более чем на 310 млрд руб. Решения по принятым проектам пересматриваться не будут, как и квоты РФПИ и «Росатома» на 580 млрд руб."
09 сен 2014 14:26,Экономика,Медведев пообещал главе НОВАТЭКа поддержать бизнес в период санкций,"Премьер-министр Дмитрий Медведев пообещал, что государство будет оказывать поддержку российскому бизнесу в условиях санкций, введенных иностранными государствами."
30 июл 2014 13:08,Экономика,Total перестала покупать акции НОВАТЭКа после крушения Boeing на Украине,Французская нефтехимическая компания Total прекратила покупать акции независимого газового производителя НОВАТЭК после крушения малайзийского Boeing 777 поблизости от Донецка 17 июля. Об этом 30 июля пишет The Wall Street Journal...
