Date,Category,Title,Text
02 сен 2022 23:13,Политика,Siemens Energy заявила об отсутствии техпричин для остановки Nord Stream,"В компании пояснили, что такие утечки, о которых заявил «Газпром», «обычно не влияют на работу турбины и могут быть устранены на месте», и выразили готовность к техработам"
02 сен 2022 19:30,Экономика,«Газпром» полностью остановил «Северный поток» на неопределенный срок,"С 31 августа прокачку по «Северному потоку» приостановили для ремонта. Как сообщили в «Газпроме», при техобслуживании турбины были найдены нарушения. По данным Ростехнадзора, до их устранения газопровод не может безопасно работать"
02 сен 2022 18:27,Экономика,Reuters подтвердил планы по возобновлению работы «Северного потока»,"Работа газопровода, остановленного для технического обслуживания, возобновится по плану — 3 сентября"
02 сен 2022 13:48,Экономика,Песков заявил об угрозе работе «всей системы» «Северного потока»,"Песков напомнил, что на компрессорной станции «Северного потока» работает только одна турбина из шести, «технологических резервов нет». Газопровод остановлен на ремонт до утра 3 сентября"
31 авг 2022 20:06,Политика,Молдавия не сможет расплатиться с «Газпромом» до 1 октября,"«Газпром» согласился, чтобы аудит долга Молдавии был продлен до 1 октября, но власти республики сообщили о невозможности успеть к этому сроку и погасить долги, попросив продлить аудит до 31 марта 2023 года"
31 авг 2022 19:21,Политика,«Газпром» назвал ущерб ЕС от минуты санкций против «Северного потока-2»,"Трубопроводный газ из России считается одним из самых экологичных решений, тогда как у поставок СПГ из США в Европу углеродный след один из самых высоких, подчеркнули в «Газпроме»"
31 авг 2022 09:05,Экономика,«Газпром» объявил о полной остановке поставок по «Северному потоку»,«Газпром» планово прекратил поставки газа по «Северному потоку». До утра 3 сентября компания будет планово обслуживать газоперекачивающее оборудование
30 авг 2022 14:12,Политика,Кремль назвал единственное препятствие для поставок газа в ЕС,"Санкции Запада не дают нормально обслуживать «Северный поток», это создает препятствия для выполнения Россией обязательств по газу, пояснили в Кремле. По его словам, за иррациональные действия властей ЕС платят простые граждане"
30 авг 2022 10:28,Экономика,Молдавия нашла способ расплатиться с «Газпромом» за августовские поставки,"Этому поспособствует решение государственного «Энергокома» закупить у «Молдовагаза» 10 млн куб. м газа на $16,6 млн. Компания попросила у «Газпрома» отсрочку до 1 сентября"
27 авг 2022 22:10,Политика,Болгария отказалась вести переговоры о новом контракте с «Газпромом»,Власти намерены вести диалог только в рамках существующего договора. Болгария решила возобновить переговоры о поставках российского газа после отказа платить в рублях
