<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,D,02/08/10,000000,219.3500000,221.1500000,219.0100000,220.5900000,126601
NVTK,D,03/08/10,000000,221.2400000,223.4000000,219.0000000,219.0000000,75540
NVTK,D,04/08/10,000000,222.0000000,222.0000000,219.2200000,220.0000000,35637
NVTK,D,05/08/10,000000,219.4900000,220.5500000,217.8000000,218.9200000,75455
NVTK,D,06/08/10,000000,218.8300000,220.2500000,214.5000000,214.8000000,186146
NVTK,D,09/08/10,000000,215.1100000,216.9600000,214.8100000,215.7500000,79008
NVTK,D,10/08/10,000000,213.6800000,214.8900000,210.3500000,212.7700000,148230
NVTK,D,11/08/10,000000,211.2400000,211.2400000,208.6100000,210.4800000,642487
NVTK,D,12/08/10,000000,209.9800000,212.8500000,208.6400000,212.5200000,180239
NVTK,D,13/08/10,000000,213.7100000,214.5000000,210.6000000,211.0300000,82911
NVTK,D,16/08/10,000000,211.0300000,214.7000000,209.0800000,214.6500000,70861
NVTK,D,17/08/10,000000,214.8100000,217.5000000,214.8100000,217.0400000,186472
NVTK,D,18/08/10,000000,217.7400000,218.8800000,217.1000000,218.5400000,91889
NVTK,D,19/08/10,000000,214.5000000,221.2000000,213.9000000,218.1300000,190425
NVTK,D,20/08/10,000000,217.4900000,218.6400000,216.0000000,216.9500000,74223
NVTK,D,23/08/10,000000,217.0100000,226.0000000,215.9100000,216.4800000,134197
NVTK,D,24/08/10,000000,217.8400000,219.2500000,210.9900000,211.0000000,105805
NVTK,D,25/08/10,000000,211.9800000,216.0000000,209.6000000,212.0000000,286814
NVTK,D,26/08/10,000000,213.0000000,214.8800000,213.0000000,214.2000000,65009
NVTK,D,27/08/10,000000,213.8400000,215.4700000,212.0000000,215.2500000,182309
NVTK,D,30/08/10,000000,215.6100000,218.0000000,215.0000000,215.6600000,41133
NVTK,D,31/08/10,000000,214.7100000,217.4000000,212.0000000,216.0000000,133509
NVTK,D,01/09/10,000000,216.1700000,217.8900000,215.3300000,217.5000000,111061
NVTK,D,02/09/10,000000,217.5100000,219.9900000,216.3700000,219.8900000,242109
NVTK,D,03/09/10,000000,219.9900000,220.0000000,214.0000000,218.9800000,130529
NVTK,D,06/09/10,000000,218.1000000,221.1500000,217.6500000,218.7900000,48741
NVTK,D,07/09/10,000000,218.2500000,219.2600000,215.0200000,218.9900000,81296
NVTK,D,08/09/10,000000,217.8100000,223.2500000,217.0100000,222.5000000,329675
NVTK,D,09/09/10,000000,223.5000000,228.7500000,220.5700000,226.7400000,1054019
NVTK,D,10/09/10,000000,226.7400000,229.0000000,223.9000000,227.7000000,830167
NVTK,D,13/09/10,000000,228.0000000,230.7500000,227.0100000,230.0100000,685262
NVTK,D,14/09/10,000000,229.0100000,231.9000000,227.8000000,231.7200000,909839
NVTK,D,15/09/10,000000,230.5000000,234.2500000,230.5000000,233.7100000,421185
NVTK,D,16/09/10,000000,231.3700000,236.0000000,230.9000000,235.4700000,262734
NVTK,D,17/09/10,000000,235.1200000,237.0000000,233.0900000,234.9000000,83041
NVTK,D,20/09/10,000000,233.2300000,237.4800000,231.3600000,235.0000000,225980
NVTK,D,21/09/10,000000,236.0000000,239.5900000,234.4400000,237.8000000,317127
NVTK,D,22/09/10,000000,243.0000000,243.4000000,233.6500000,239.5900000,900431
NVTK,D,23/09/10,000000,239.5900000,242.9800000,237.0300000,238.3800000,230940
NVTK,D,24/09/10,000000,237.3300000,239.3000000,233.0000000,238.0000000,156608
NVTK,D,27/09/10,000000,237.4800000,242.0800000,231.0500000,232.4500000,335850
NVTK,D,28/09/10,000000,233.6900000,233.8700000,228.2500000,228.8200000,306364
NVTK,D,29/09/10,000000,229.8800000,231.4800000,228.0400000,230.8400000,215960
NVTK,D,30/09/10,000000,230.9500000,235.4600000,230.0000000,235.0000000,154476
